time,open,high,low,close,volume,ticker,industry,MA10,MA20,MA50,MA200,rsi,macd,upper_band,lower_band,RS
2020-02-14,8360,8480,8310,8460,1102790,SSI,Dịch vụ tài chính,8293.0,8597.5,8766.6,,33.16831683168317,-138.15957368201998,9353.38567779441,7841.614322205592,
2020-02-17,8460,8520,8380,8380,1955060,SSI,Dịch vụ tài chính,8321.0,8582.0,8746.2,,31.904761904761912,-132.48286414461654,9342.598102603593,7821.401897396407,
2020-02-18,8380,8410,8260,8330,1478110,SSI,Dịch vụ tài chính,8347.0,8561.5,8727.6,,30.188679245283026,-130.51412745127163,9326.257271433558,7796.742728566442,
2020-02-19,8360,8380,8280,8360,1668460,SSI,Dịch vụ tài chính,8378.0,8542.5,8711.4,,38.06818181818182,-125.09116705105771,9307.46645953303,7777.533540466969,
2020-02-20,8410,8480,8310,8360,1664520,SSI,Dịch vụ tài chính,8373.0,8507.0,8690.6,,48.20143884892086,-119.41686853748797,9233.841762262182,7780.158237737817,
2020-02-21,8360,8380,8280,8280,1197860,SSI,Dịch vụ tài chính,8360.0,8464.0,8670.2,,57.758620689655174,-119.9920834509303,9132.5853092833,7795.4146907167,
2020-02-24,8100,8140,7720,7720,3482920,SSI,Dịch vụ tài chính,8299.0,8393.0,8639.4,,39.64497041420118,-163.74768392783335,9060.91427120865,7725.0857287913495,
2020-02-25,7520,7810,7520,7780,1693240,SSI,Dịch vụ tài chính,8249.0,8325.0,8609.0,,42.19653179190751,-191.37674203449205,8948.116108129534,7701.883891870466,
2020-02-26,7600,7930,7550,7650,1038320,SSI,Dịch vụ tài chính,8168.0,8249.0,8579.6,,24.66666666666667,-221.2128788185173,8805.375488506184,7692.624511493816,
2020-02-27,7600,7830,7570,7830,1490420,SSI,Dịch vụ tài chính,8115.0,8201.5,8555.8,,32.73809523809524,-227.70885061433728,8728.428538049036,7674.571461950964,
2020-02-28,7670,7700,7500,7550,1987700,SSI,Dịch vụ tài chính,8024.0,8158.5,8522.4,,29.255319148936167,-252.53949688611283,8750.171139098464,7566.828860901536,
2020-03-02,7620,7650,7480,7500,2114140,SSI,Dịch vụ tài chính,7936.0,8128.5,8490.0,,29.255319148936167,-273.10436793224926,8789.449078379335,7467.550921620664,
2020-03-03,7650,7720,7570,7570,2088500,SSI,Dịch vụ tài chính,7860.0,8103.5,8460.6,,24.858757062146893,-280.5201003138982,8810.019266322,7396.9807336779995,
2020-03-04,7600,7810,7550,7720,2852970,SSI,Dịch vụ tài chính,7796.0,8087.0,8437.8,,32.41758241758242,-271.167524825858,8813.899689018164,7360.100310981836,
2020-03-05,7860,8050,7810,7980,3298460,SSI,Dịch vụ tài chính,7758.0,8065.5,8422.6,,37.87878787878788,-240.00903947396455,8777.45727252041,7353.542727479588,
