time,open,high,low,close,volume,ticker,industry
2020-03-25,39030,40330,38840,40330,1835730,VCB,Ngân hàng
2020-03-26,40330,42090,40010,41110,1484590,VCB,Ngân hàng
2020-03-27,41180,42870,40660,41700,1569620,VCB,Ngân hàng
2020-03-30,39100,39940,38900,39680,1637330,VCB,Ngân hàng
2020-03-31,40010,41700,39030,40330,957500,VCB,Ngân hàng
2020-04-01,40010,42870,40010,42280,1229320,VCB,Ngân hàng
2020-04-03,42280,43130,41630,42610,1726690,VCB,Ngân hàng
2020-04-06,43910,44430,42930,44230,2111200,VCB,Ngân hàng
2020-04-07,44230,44890,43450,44360,1773570,VCB,Ngân hàng
2020-04-08,43580,44360,43450,43910,1778380,VCB,Ngân hàng
2020-04-09,44230,46840,44230,46190,1795170,VCB,Ngân hàng
2020-04-10,46190,46770,45280,45930,1599380,VCB,Ngân hàng
2020-04-13,45930,46710,45540,46060,1046830,VCB,Ngân hàng
2020-04-14,45860,46060,44100,45470,1944570,VCB,Ngân hàng
2020-04-15,45340,46380,45340,46120,1017740,VCB,Ngân hàng
2020-04-16,45540,46320,45410,46320,1057050,VCB,Ngân hàng
2020-04-17,46510,46710,46120,46450,1473140,VCB,Ngân hàng
2020-04-20,46640,47100,46060,46770,1026030,VCB,Ngân hàng
2020-04-21,46190,46510,44100,46510,2159110,VCB,Ngân hàng
2020-04-22,44890,46250,44890,45080,1612290,VCB,Ngân hàng
2020-04-23,46190,46190,44760,45020,1201610,VCB,Ngân hàng
2020-04-24,45020,45280,43910,44820,972170,VCB,Ngân hàng
2020-04-27,45470,45470,43450,43450,2547060,VCB,Ngân hàng
2020-04-28,43450,44560,42410,43580,2052860,VCB,Ngân hàng
2020-04-29,44230,44300,43580,44230,1523750,VCB,Ngân hàng
2020-05-04,44230,44300,43450,43840,852260,VCB,Ngân hàng
2020-05-05,43780,44040,43450,43450,1007640,VCB,Ngân hàng
2020-05-06,43780,44040,43260,43970,855770,VCB,Ngân hàng
2020-05-07,44100,45340,44040,45340,1936540,VCB,Ngân hàng
2020-05-08,45540,48270,45410,47810,3865590,VCB,Ngân hàng
2020-05-11,48460,48460,47160,48460,1696160,VCB,Ngân hàng
2020-05-12,48530,49440,48400,49180,2199500,VCB,Ngân hàng
2020-05-13,49180,49760,46840,49180,1851970,VCB,Ngân hàng
2020-05-14,48790,49700,48720,49440,2121750,VCB,Ngân hàng
2020-05-15,49700,49760,49180,49440,1596240,VCB,Ngân hàng
2020-05-18,49630,51390,49310,51070,1002690,VCB,Ngân hàng
2020-05-19,51980,52110,51260,51390,1129270,VCB,Ngân hàng
2020-05-20,51000,51850,51000,51780,710200,VCB,Ngân hàng
2020-05-21,52040,52820,51780,52820,1425500,VCB,Ngân hàng
2020-05-22,52820,52890,52040,52690,805710,VCB,Ngân hàng
2020-05-25,52630,52890,52560,52760,708710,VCB,Ngân hàng
2020-05-26,52690,53730,52690,53670,740930,VCB,Ngân hàng
2020-05-27,53990,54900,53930,53930,817770,VCB,Ngân hàng
2020-05-28,53990,55360,53990,54970,1849310,VCB,Ngân hàng
2020-05-29,55290,55940,54970,55420,1161180,VCB,Ngân hàng
2020-06-01,55620,56400,55620,56270,725310,VCB,Ngân hàng
2020-06-02,56530,56530,56140,56330,1009040,VCB,Ngân hàng
2020-06-03,56590,57180,56530,57180,462750,VCB,Ngân hàng
2020-06-04,57250,57900,57250,57900,450240,VCB,Ngân hàng
2020-06-05,57960,58090,56590,57900,810570,VCB,Ngân hàng
2020-06-08,57900,58680,57510,58160,802240,VCB,Ngân hàng
2020-06-09,58480,58550,58160,58220,417690,VCB,Ngân hàng
2020-06-10,58220,58420,58090,58290,793590,VCB,Ngân hàng
2020-06-11,58220,58290,56590,57250,1163900,VCB,Ngân hàng
2020-06-12,53670,56270,53670,55680,1612920,VCB,Ngân hàng
2020-06-15,55680,55810,53210,53340,1218540,VCB,Ngân hàng
2020-06-16,54640,54640,53600,54450,802980,VCB,Ngân hàng
2020-06-17,55290,55420,54510,54770,737830,VCB,Ngân hàng
2020-06-18,54640,56270,54580,55290,1809780,VCB,Ngân hàng
2020-06-19,55290,55940,55290,55550,723970,VCB,Ngân hàng
2020-06-22,55290,55680,55290,55620,1308600,VCB,Ngân hàng
2020-06-23,55620,56590,55490,55940,917230,VCB,Ngân hàng
2020-06-24,55940,55940,54710,55100,710160,VCB,Ngân hàng
2020-06-25,53800,54900,53800,54450,506650,VCB,Ngân hàng
2020-06-26,54710,55100,53990,54190,355930,VCB,Ngân hàng
2020-06-29,54190,54190,52760,53020,594140,VCB,Ngân hàng
2020-06-30,53670,53670,52040,52240,709990,VCB,Ngân hàng
2020-07-01,52240,53800,52040,53800,404440,VCB,Ngân hàng
2020-07-02,54120,54120,52690,53730,469040,VCB,Ngân hàng
2020-07-03,53670,54190,53470,53990,370340,VCB,Ngân hàng
2020-07-06,53990,54250,53600,53930,1218830,VCB,Ngân hàng
2020-07-07,54640,54770,54190,54250,1336830,VCB,Ngân hàng
2020-07-08,54120,54250,53860,53990,485190,VCB,Ngân hàng
2020-07-09,54580,54580,54190,54380,962170,VCB,Ngân hàng
2020-07-10,54250,54380,53410,53800,918560,VCB,Ngân hàng
2020-07-13,54250,54320,53600,53930,371630,VCB,Ngân hàng
2020-07-14,53930,53990,53470,53990,427110,VCB,Ngân hàng
2020-07-15,54120,54510,54120,54320,1198530,VCB,Ngân hàng
2020-07-16,54510,54580,53930,54320,1091190,VCB,Ngân hàng
2020-07-17,54380,54380,53860,53860,628000,VCB,Ngân hàng
2020-07-20,53670,53800,53150,53470,696830,VCB,Ngân hàng
2020-07-21,53670,53860,53150,53670,681740,VCB,Ngân hàng
2020-07-22,53670,53670,53470,53670,625320,VCB,Ngân hàng
2020-07-23,53670,53860,53410,53670,1350870,VCB,Ngân hàng
2020-07-24,53410,53540,51070,52690,1341540,VCB,Ngân hàng
2020-07-27,49440,52040,49440,50090,1274570,VCB,Ngân hàng
2020-07-28,50090,51260,49760,51070,910690,VCB,Ngân hàng
2020-07-29,49440,50740,48850,50410,833570,VCB,Ngân hàng
2020-07-30,50480,51070,50280,50350,937680,VCB,Ngân hàng
2020-07-31,49440,50350,49440,49700,672940,VCB,Ngân hàng
2020-08-03,49440,51260,49440,51260,422820,VCB,Ngân hàng
2020-08-04,52040,53280,51650,53280,616840,VCB,Ngân hàng
2020-08-05,53280,53990,52300,53800,778840,VCB,Ngân hàng
2020-08-06,53730,54060,53280,53860,802350,VCB,Ngân hàng
2020-08-07,53990,53990,53600,53930,518660,VCB,Ngân hàng
2020-08-10,53990,54120,53280,53280,576570,VCB,Ngân hàng
2020-08-11,53670,53730,53210,53410,312920,VCB,Ngân hàng
2020-08-12,53410,53540,53280,53410,310430,VCB,Ngân hàng
2020-08-13,53930,53990,53340,53990,385320,VCB,Ngân hàng
2020-08-14,53990,54060,53280,53340,820270,VCB,Ngân hàng
2020-08-17,53340,53930,53150,53540,389480,VCB,Ngân hàng
2020-08-18,53540,53730,53150,53540,331690,VCB,Ngân hàng
2020-08-19,53540,53990,53340,53990,586790,VCB,Ngân hàng
2020-08-20,53990,54970,53990,53990,1093620,VCB,Ngân hàng
2020-08-21,53990,54120,53730,53930,1281740,VCB,Ngân hàng
2020-08-24,53990,55030,53990,54580,1530010,VCB,Ngân hàng
2020-08-25,54580,55230,54580,54580,1748400,VCB,Ngân hàng
2020-08-26,54580,54580,54250,54320,1585740,VCB,Ngân hàng
2020-08-27,54320,54580,54120,54320,1003280,VCB,Ngân hàng
2020-08-28,54380,54580,54190,54250,1645430,VCB,Ngân hàng
2020-08-31,54640,54970,53860,53990,971310,VCB,Ngân hàng
2020-09-01,53990,54190,53930,53990,1625600,VCB,Ngân hàng
2020-09-03,54450,56270,54450,56070,2503810,VCB,Ngân hàng
2020-09-04,55290,56010,55160,55230,2425360,VCB,Ngân hàng
2020-09-07,55100,55360,54380,54380,1181750,VCB,Ngân hàng
2020-09-08,54380,54580,53540,53670,1985560,VCB,Ngân hàng
2020-09-09,53340,54120,53020,53470,1472680,VCB,Ngân hàng
2020-09-10,53990,54190,53410,53410,689700,VCB,Ngân hàng
2020-09-11,53410,53730,53210,53540,665690,VCB,Ngân hàng
2020-09-14,53860,54060,53800,53990,594680,VCB,Ngân hàng
2020-09-15,53990,54320,53670,53670,998970,VCB,Ngân hàng
2020-09-16,53730,54060,53340,53930,628030,VCB,Ngân hàng
2020-09-17,53670,53990,53340,53670,1043250,VCB,Ngân hàng
2020-09-18,53600,53990,53600,53930,1188400,VCB,Ngân hàng
2020-09-21,54060,54380,53990,53990,1671360,VCB,Ngân hàng
2020-09-22,53990,54900,53860,54640,1746960,VCB,Ngân hàng
2020-09-23,54770,55620,54770,55550,1395190,VCB,Ngân hàng
2020-09-24,54710,56070,54710,56010,1628730,VCB,Ngân hàng
2020-09-25,56010,56070,55620,55940,1107270,VCB,Ngân hàng
2020-09-28,55810,56070,55550,55940,1254760,VCB,Ngân hàng
2020-09-29,55940,56010,54510,55030,1609090,VCB,Ngân hàng
2020-09-30,55290,55290,54510,54710,584450,VCB,Ngân hàng
2020-10-01,55360,55360,54770,55160,367030,VCB,Ngân hàng
2020-10-02,55160,55290,52040,54640,890840,VCB,Ngân hàng
2020-10-05,54970,55290,54250,54320,811740,VCB,Ngân hàng
2020-10-06,54510,54900,54120,54580,1105060,VCB,Ngân hàng
2020-10-07,54380,55420,54060,55290,988270,VCB,Ngân hàng
2020-10-08,55620,55620,54510,55160,549140,VCB,Ngân hàng
2020-10-09,54970,55290,54970,55160,366200,VCB,Ngân hàng
2020-10-12,55940,56590,55160,55880,1574610,VCB,Ngân hàng
2020-10-13,55940,56530,55620,56270,814530,VCB,Ngân hàng
2020-10-14,56460,57900,56400,57380,1206380,VCB,Ngân hàng
2020-10-15,57380,57640,56460,57640,1424740,VCB,Ngân hàng
2020-10-16,57570,57640,56920,57380,668850,VCB,Ngân hàng
2020-10-19,57250,57440,56920,56920,1052250,VCB,Ngân hàng
2020-10-20,56590,57110,56530,57050,1075780,VCB,Ngân hàng
2020-10-21,57110,57640,55880,56070,1452050,VCB,Ngân hàng
2020-10-22,56010,56330,55360,56330,1320610,VCB,Ngân hàng
2020-10-23,56530,56920,56400,56920,657830,VCB,Ngân hàng
2020-10-26,56920,57110,55940,55940,911390,VCB,Ngân hàng
2020-10-27,55940,56790,55620,55940,1169320,VCB,Ngân hàng
2020-10-28,55940,56270,54320,54770,866330,VCB,Ngân hàng
2020-10-29,54900,55160,54320,54380,764720,VCB,Ngân hàng
2020-10-30,54380,54900,53860,53990,1090610,VCB,Ngân hàng
2020-11-02,53990,55810,53990,55810,366300,VCB,Ngân hàng
2020-11-03,55810,55880,55100,55290,308550,VCB,Ngân hàng
2020-11-04,55290,55620,54840,55290,394660,VCB,Ngân hàng
2020-11-05,55620,55620,55160,55290,507960,VCB,Ngân hàng
2020-11-06,55360,55360,54640,55290,323160,VCB,Ngân hàng
2020-11-09,55290,55810,55160,55620,1007000,VCB,Ngân hàng
2020-11-10,56010,56790,55360,55360,1511520,VCB,Ngân hàng
2020-11-11,55620,56330,55230,55230,1032520,VCB,Ngân hàng
2020-11-12,55750,56270,55680,56200,405350,VCB,Ngân hàng
2020-11-13,56330,56530,56070,56530,417840,VCB,Ngân hàng
2020-11-16,56720,57110,55290,55810,1250340,VCB,Ngân hàng
2020-11-17,55810,56980,55620,56980,548250,VCB,Ngân hàng
2020-11-18,56980,57050,56590,56980,906810,VCB,Ngân hàng
2020-11-19,57050,58680,56850,58680,2584440,VCB,Ngân hàng
2020-11-20,59200,60170,58610,60170,1231960,VCB,Ngân hàng
2020-11-23,59910,60110,59200,59590,648830,VCB,Ngân hàng
2020-11-24,59850,60110,59070,60110,996580,VCB,Ngân hàng
2020-11-25,60170,61280,60040,60820,1088020,VCB,Ngân hàng
2020-11-26,60820,61150,60240,61150,698350,VCB,Ngân hàng
2020-11-27,61150,61470,60630,61470,1210580,VCB,Ngân hàng
2020-11-30,60950,61150,59520,60500,1448340,VCB,Ngân hàng
2020-12-01,59000,60630,59000,59850,1162270,VCB,Ngân hàng
2020-12-02,59850,60820,59520,60820,746710,VCB,Ngân hàng
2020-12-03,60820,61080,60110,60820,736760,VCB,Ngân hàng
2020-12-04,60630,60820,59260,59260,860900,VCB,Ngân hàng
2020-12-07,59460,60690,59460,60560,945460,VCB,Ngân hàng
2020-12-08,60500,61080,59520,60560,702820,VCB,Ngân hàng
2020-12-09,60890,62770,60630,62770,1198160,VCB,Ngân hàng
2020-12-10,62770,63560,62710,63230,1299820,VCB,Ngân hàng
2020-12-11,63230,63290,62380,63230,776190,VCB,Ngân hàng
2020-12-14,63230,64989,62380,64989,931080,VCB,Ngân hàng
2020-12-15,64400,64920,62770,63620,1433260,VCB,Ngân hàng
2020-12-16,64080,64989,63620,64989,740700,VCB,Ngân hàng
2020-12-17,64140,64140,61800,62450,2305960,VCB,Ngân hàng
2020-12-18,62450,64340,62450,64340,1053200,VCB,Ngân hàng
2020-12-21,64860,64930,63810,64860,697030,VCB,Ngân hàng
2020-12-22,64269,64340,63940,64200,748840,VCB,Ngân hàng
2020-12-23,63940,64599,63550,63940,666390,VCB,Ngân hàng
2020-12-24,64200,64200,62960,63810,815730,VCB,Ngân hàng
2020-12-25,63610,64010,63420,64010,314960,VCB,Ngân hàng
2020-12-28,64269,64400,63810,64269,836090,VCB,Ngân hàng
2020-12-29,64269,65450,64140,65060,696510,VCB,Ngân hàng
2020-12-30,65060,65319,63940,64200,509510,VCB,Ngân hàng
2020-12-31,64200,64930,63610,64200,367140,VCB,Ngân hàng
2021-01-04,64269,65450,63810,64930,855900,VCB,Ngân hàng
2021-01-05,64930,65980,64930,65120,739200,VCB,Ngân hàng
2021-01-06,65250,69650,65120,68860,2080400,VCB,Ngân hàng
2021-01-07,68200,71160,68200,70170,889000,VCB,Ngân hàng
2021-01-08,70830,70830,68530,68730,963900,VCB,Ngân hàng
2021-01-11,68600,69320,68270,68530,847400,VCB,Ngân hàng
2021-01-12,69250,69250,68340,69250,634900,VCB,Ngân hàng
2021-01-13,69250,69580,68200,68730,1064200,VCB,Ngân hàng
2021-01-14,68860,68990,67750,68140,832200,VCB,Ngân hàng
2021-01-15,68730,68800,67220,67680,1099800,VCB,Ngân hàng
2021-01-18,67880,68860,67550,67750,1060400,VCB,Ngân hàng
2021-01-19,67610,67750,63020,64930,1130300,VCB,Ngân hàng
2021-01-20,64930,69450,64269,64989,2093000,VCB,Ngân hàng
2021-01-21,64989,67550,64269,67550,1283700,VCB,Ngân hàng
2021-01-22,67550,68200,66890,67550,1268500,VCB,Ngân hàng
2021-01-25,66300,67550,66300,67220,725900,VCB,Ngân hàng
2021-01-26,67220,67220,64930,66170,970500,VCB,Ngân hàng
2021-01-27,64989,65580,61580,63880,1566800,VCB,Ngân hàng
2021-01-28,60340,61190,59420,59420,1205500,VCB,Ngân hàng
2021-01-29,56070,63550,56070,60990,1359000,VCB,Ngân hàng
2021-02-01,62960,62960,59680,59740,1309600,VCB,Ngân hàng
2021-02-02,60340,63420,60340,63290,1064500,VCB,Ngân hàng
2021-02-03,64200,64930,63350,64860,1454600,VCB,Ngân hàng
2021-02-04,64860,64930,61580,64860,967300,VCB,Ngân hàng
2021-02-05,64860,65580,64200,65580,897400,VCB,Ngân hàng
2021-02-08,64930,65450,61060,61710,2902200,VCB,Ngân hàng
2021-02-09,63610,63880,61060,63750,2978900,VCB,Ngân hàng
2021-02-17,63940,65580,63940,65580,1054100,VCB,Ngân hàng
2021-02-18,64930,66890,64269,66890,1688900,VCB,Ngân hàng
2021-02-19,65060,66700,64989,66430,1851200,VCB,Ngân hàng
2021-02-22,65910,66890,65780,65980,1388700,VCB,Ngân hàng
2021-02-23,65580,66240,65060,65580,1441400,VCB,Ngân hàng
2021-02-24,65910,66240,63290,64340,1265300,VCB,Ngân hàng
2021-02-25,64930,65250,64010,64400,896100,VCB,Ngân hàng
2021-02-26,63810,64930,63610,64400,1070700,VCB,Ngân hàng
2021-03-01,64400,65120,64400,65060,911200,VCB,Ngân hàng
2021-03-02,65580,66760,64269,65120,1189600,VCB,Ngân hàng
2021-03-03,64470,65190,64400,64530,915600,VCB,Ngân hàng
2021-03-04,64660,65250,61060,63810,1118100,VCB,Ngân hàng
2021-03-05,63680,63750,62300,63220,1661600,VCB,Ngân hàng
2021-03-08,63610,63610,62300,62430,1501800,VCB,Ngân hàng
2021-03-09,62300,62300,61060,62300,1344300,VCB,Ngân hàng
2021-03-10,62300,62830,61650,62630,1063900,VCB,Ngân hàng
2021-03-11,62830,63480,62830,63160,1009800,VCB,Ngân hàng
2021-03-12,63160,63290,61970,62830,1259800,VCB,Ngân hàng
2021-03-15,62960,63610,62630,63160,1438400,VCB,Ngân hàng
2021-03-16,62960,62960,62370,62760,655800,VCB,Ngân hàng
2021-03-17,62630,62830,62300,62700,1239400,VCB,Ngân hàng
2021-03-18,63090,63940,62630,63940,1609100,VCB,Ngân hàng
2021-03-19,63680,63680,61780,61780,1595700,VCB,Ngân hàng
2021-03-22,62960,63940,62560,63610,1902000,VCB,Ngân hàng
2021-03-23,63550,63550,62560,62830,940800,VCB,Ngân hàng
2021-03-24,62300,62890,61710,62110,1422500,VCB,Ngân hàng
2021-03-25,62110,62960,61970,62370,1160300,VCB,Ngân hàng
2021-03-26,62300,62630,61450,62240,1196800,VCB,Ngân hàng
2021-03-29,62430,62830,61320,62500,1195800,VCB,Ngân hàng
2021-03-30,62500,62500,61710,62170,1748700,VCB,Ngân hàng
2021-03-31,61970,62370,61710,62170,944600,VCB,Ngân hàng
2021-04-01,62430,64069,62430,63550,2697600,VCB,Ngân hàng
2021-04-02,63940,64599,63550,64140,2277500,VCB,Ngân hàng
2021-04-05,65580,67420,64660,66890,3592400,VCB,Ngân hàng
2021-04-06,66890,67220,65910,66830,2243200,VCB,Ngân hàng
2021-04-07,66240,66890,65840,66830,1182700,VCB,Ngân hàng
2021-04-08,66830,66830,65250,65580,1575400,VCB,Ngân hàng
2021-04-09,65250,65250,63940,63940,2101700,VCB,Ngân hàng
2021-04-12,64599,65060,63880,64860,2670100,VCB,Ngân hàng
2021-04-13,65580,65580,63940,63940,1670900,VCB,Ngân hàng
2021-04-14,63810,64730,63550,64730,1336800,VCB,Ngân hàng
2021-04-15,65450,65450,63480,63940,2152800,VCB,Ngân hàng
2021-04-16,63810,64599,62960,63160,1515900,VCB,Ngân hàng
2021-04-19,63610,64599,62830,64599,1387500,VCB,Ngân hàng
2021-04-20,64989,68860,64599,67550,6274200,VCB,Ngân hàng
2021-04-22,67550,69250,67020,67550,2981300,VCB,Ngân hàng
2021-04-23,67550,68200,65910,68200,2285300,VCB,Ngân hàng
2021-04-26,68200,68200,64200,64660,3595400,VCB,Ngân hàng
2021-04-27,64660,65319,64069,64930,1191800,VCB,Ngân hàng
2021-04-28,64930,65120,64069,64930,1426900,VCB,Ngân hàng
2021-04-29,64930,65580,64269,65580,1615700,VCB,Ngân hàng
2021-05-04,64930,65319,64269,64989,1496300,VCB,Ngân hàng
2021-05-05,64989,66890,64989,66370,1826700,VCB,Ngân hàng
2021-05-06,66370,66700,64930,65120,1161200,VCB,Ngân hàng
2021-05-07,64860,64930,63420,63610,2284800,VCB,Ngân hàng
2021-05-10,63420,64400,62890,64340,1674000,VCB,Ngân hàng
2021-05-11,64400,65120,63940,64200,1171500,VCB,Ngân hàng
2021-05-12,64200,64200,63610,63810,1218300,VCB,Ngân hàng
2021-05-13,63750,64140,63480,63480,1698000,VCB,Ngân hàng
2021-05-14,63880,64470,63350,63550,1403600,VCB,Ngân hàng
2021-05-17,63680,63810,62830,62960,1715100,VCB,Ngân hàng
2021-05-18,62500,62960,61970,62040,2103400,VCB,Ngân hàng
2021-05-19,62040,62040,61520,61710,1678100,VCB,Ngân hàng
2021-05-20,61710,64930,61710,64930,1904100,VCB,Ngân hàng
2021-05-21,63160,64269,62960,63480,1459200,VCB,Ngân hàng
2021-05-24,63940,64599,63290,63880,1814700,VCB,Ngân hàng
2021-05-25,63880,65580,63880,65450,3816000,VCB,Ngân hàng
2021-05-26,65519,66760,65379,65840,2356000,VCB,Ngân hàng
2021-05-27,65840,65840,64269,64730,1455000,VCB,Ngân hàng
2021-05-28,64930,66300,64010,65319,2196000,VCB,Ngân hàng
2021-05-31,66240,66240,64470,64660,2621000,VCB,Ngân hàng
2021-06-01,65190,68340,64730,68010,4533500,VCB,Ngân hàng
2021-06-02,68200,70500,68010,69520,4274100,VCB,Ngân hàng
2021-06-03,69580,70830,69520,69980,2802000,VCB,Ngân hàng
2021-06-04,69840,69840,68270,68800,2405800,VCB,Ngân hàng
